TIPUSCASDATA;COMARCACODI;COMARCADESCRIPCIO;MUNICIPICODI;MUNICIPIDESCRIPCIO;SEXECODI;SEXEDESCRIPCIO;TIPUSCASDESCRIPCIO;NUMCASOS
19/03/2020;11;BAIX LLOBREGAT;08244;SANTA COLOMA DE CERVELLÓ;0;Home;Positiu PCR;2
05/11/2020;34;SELVA;17023;BLANES;0;Home;Positiu PCR;8
04/10/2020;13;BARCELONES;08015;BADALONA;1;Dona;Positiu PCR;8
21/10/2020;01;ALT CAMP;43161;VALLS;0;Home;Positiu PCR;4
07/09/2020;13;BARCELONES;08015;BADALONA;0;Home;Positiu PCR;17
22/10/2020;11;BAIX LLOBREGAT;08089;GAVÀ;0;Home;Positiu PCR;7
29/10/2020;41;VALLES ORIENTAL;08014;AIGUAFREDA;1;Dona;Positiu PCR;2
02/11/2020;40;VALLES OCCIDENTAL;08051;CASTELLAR DEL VALLÈS;0;Home;Positiu PCR;5
10/11/2020;13;BARCELONES;08245;SANTA COLOMA DE GRAMENET;1;Dona;Positiu PCR;29
13/04/2020;19;GARROTXA;17114;OLOT;1;Dona;Positiu PCR;2
14/03/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu PCR;43
02/11/2020;02;ALT EMPORDA;17066;FIGUERES;1;Dona;Positiu PCR;28
23/04/2020;20;GIRONES;17155;SALT;1;Dona;Positiu PCR;6
06/10/2020;09;BAIX EBRE;43155;TORTOSA;0;Home;Positiu PCR;15
23/04/2020;11;BAIX LLOBREGAT;08221;SANT JUST DESVERN;1;Dona;Positiu PCR;28
14/10/2020;22;MONTSIA;43014;AMPOSTA;0;Home;Positiu PCR;5
03/09/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu PCR;115
15/10/2020;40;VALLES OCCIDENTAL;08252;BARBERÀ DEL VALLÈS;0;Home;Positiu PCR;7
15/10/2020;40;VALLES OCCIDENTAL;08187;SABADELL;1;Dona;Positiu PCR;59
07/09/2020;40;VALLES OCCIDENTAL;08180;RIPOLLET;0;Home;Positiu PCR;5
21/09/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;0;Home;Positiu PCR;36
01/08/2020;02;ALT EMPORDA;17230;VILA-SACRA;0;Home;Positiu PCR;1
05/09/2020;21;MARESME;08264;SANT VICENÇ DE MONTALT;0;Home;Positiu PCR;1
10/11/2020;40;VALLES OCCIDENTAL;08187;SABADELL;0;Home;Positiu PCR;39
09/09/2020;11;BAIX LLOBREGAT;08157;PALLEJÀ;0;Home;Positiu PCR;1
27/08/2020;34;SELVA;17103;MAÇANET DE LA SELVA;1;Dona;Positiu PCR;2
12/08/2020;40;VALLES OCCIDENTAL;08279;TERRASSA;0;Home;Positiu PCR;24
26/10/2020;11;BAIX LLOBREGAT;08196;SANT ANDREU DE LA BARCA;0;Home;Positiu PCR;14
03/11/2020;08;BAIX CAMP;43128;RIUDECOLS;0;Home;Positiu PCR;1
11/11/2020;07;BAGES;08010;ARTÉS;0;Home;Positiu PCR;2
27/09/2020;40;VALLES OCCIDENTAL;08187;SABADELL;0;Home;Positiu PCR;8
23/03/2020;41;VALLES ORIENTAL;08096;GRANOLLERS;1;Dona;Positiu PCR;11
21/10/2020;41;VALLES ORIENTAL;08105;LA LLAGOSTA;1;Dona;Positiu PCR;9
22/09/2020;13;BARCELONES;08015;BADALONA;1;Dona;Positiu PCR;17
08/09/2020;33;SEGRIA;25120;LLEIDA;1;Dona;Positiu PCR;11
29/10/2020;13;BARCELONES;08194;SANT ADRIÀ DE BESÒS;0;Home;Positiu PCR;14
02/11/2020;24;OSONA;08183;RODA DE TER;0;Home;Positiu PCR;16
22/10/2020;21;MARESME;08035;CALELLA;0;Home;Positiu PCR;7
13/11/2020;02;ALT EMPORDA;17214;VILABERTRAN;0;Home;Positiu PCR;1
29/08/2020;40;VALLES OCCIDENTAL;08125;MONTCADA I REIXAC;0;Home;Positiu PCR;4
26/03/2020;20;GIRONES;17089;LLAGOSTERA;1;Dona;Positiu PCR;2
26/10/2020;34;SELVA;17023;BLANES;1;Dona;Positiu PCR;21
05/10/2020;08;BAIX CAMP;43042;CASTELLVELL DEL CAMP;0;Home;Positiu PCR;1
02/08/2020;13;BARCELONES;08019;BARCELONA;0;Home;Positiu PCR;38
17/04/2020;14;BERGUEDA;08022;BERGA;0;Home;Positiu PCR;2
11/11/2020;21;MARESME;08110;MALGRAT DE MAR;0;Home;Positiu PCR;3
11/09/2020;15;CERDANYA;17141;PUIGCERDÀ;0;Home;Positiu PCR;2
18/06/2020;13;BARCELONES;08101;L'HOSPITALET DE LLOBREGAT;1;Dona;Positiu PCR;8
27/10/2020;09;BAIX EBRE;43155;TORTOSA;1;Dona;Positiu PCR;7
27/10/2020;33;SEGRIA;25012;ALCOLETGE;0;Home;Positiu PCR;2
