id,amount,status,created_at,updated_at,user_id,moderated_at,deleted_account_id,reimbursement_date,cash_request_received_date,money_back_date,transfer_type,send_at,recovery_status,reco_creation,reco_last_update
756,70.00,rejected,2020-02-28 10:13:18.421583+00,2020-02-28 14:12:15.07666+00,821,2020-02-28 14:12:15.073471+00,,2020-03-07 23:00:00+00,,,regular,,,,
1073,100.00,rejected,2020-04-08 02:21:48.854449+00,2020-04-08 09:41:16.026093+00,2867,2020-04-08 09:41:16.022533+00,,2020-04-30 23:00:00+00,,,regular,,,,
545,100.00,rejected,2020-01-29 13:53:03.343598+00,2020-02-08 06:21:16.156719+00,,2020-01-29 14:39:11.563872+00,304,2020-02-28 13:53:03.343216+00,,,regular,,,,
600,100.00,rejected,2020-02-04 07:20:23.854358+00,2020-02-04 18:37:37.090789+00,2872,2020-02-04 18:37:37.087514+00,,2020-04-05 07:20:23.842669+00,,,regular,,,,
613,100.00,rejected,2020-02-05 17:37:56.852948+00,2020-02-08 06:21:16.15229+00,,2020-02-06 12:48:09.880702+00,304,2020-03-08 17:37:56.842421+00,,,regular,,,,
96,100.00,rejected,2019-12-11 15:06:58.975636+00,2019-12-18 15:10:53.171881+00,781,2019-12-18 15:10:53.162967+00,,2019-12-18 15:06:58.97522+00,,,regular,,,,
97,100.00,rejected,2019-12-11 15:47:02.225365+00,2019-12-11 17:15:43.266599+00,945,2019-12-11 17:15:43.264389+00,,2020-01-10 15:47:02.224742+00,,,regular,,,,
642,1.00,rejected,2020-02-08 11:38:20.601027+00,2020-02-08 17:53:40.269324+00,2460,2020-02-08 17:53:40.26613+00,,2020-03-03 11:38:20.591936+00,,,regular,,,,
84,100.00,rejected,2019-12-11 07:30:42.567035+00,2020-01-10 16:58:06.837117+00,,2020-01-10 16:58:06.830329+00,91,2020-01-10 07:30:42.567035+00,,,regular,,,,
100,100.00,rejected,2019-12-11 21:58:21.714715+00,2019-12-12 13:51:17.431739+00,1286,2019-12-12 13:51:17.42903+00,,2020-01-10 21:58:21.714187+00,,,regular,,,,
106,100.00,rejected,2019-12-11 23:33:18.654208+00,2019-12-18 15:13:51.003941+00,528,2019-12-18 15:13:50.994508+00,,2019-12-18 23:33:18.653699+00,,,regular,,,,
108,100.00,rejected,2019-12-12 04:59:01.159806+00,2019-12-12 14:10:38.040511+00,792,2019-12-12 14:10:38.038165+00,,2020-01-11 04:59:01.159086+00,,,regular,,,,
113,100.00,rejected,2019-12-12 09:41:28.111336+00,2019-12-12 14:22:14.929202+00,682,2019-12-12 14:22:14.926766+00,,2020-01-11 09:41:28.110604+00,,,regular,,,,
1540,100.00,rejected,2020-05-04 04:23:57.148763+00,2020-05-04 09:23:14.319562+00,3377,2020-05-04 09:23:14.315961+00,,2020-05-13 22:00:00+00,,,regular,,,,
1135,100.00,rejected,2020-04-10 22:10:31.412685+00,2020-04-13 08:45:55.525828+00,2274,2020-04-13 08:45:55.521142+00,,2020-05-06 22:00:00+00,,,regular,,,,
118,100.00,rejected,2019-12-12 14:14:14.131479+00,2019-12-12 14:41:39.487777+00,47,2019-12-12 14:41:39.485394+00,,2019-12-19 14:14:14.131025+00,,,regular,,,,
1395,70.00,rejected,2020-04-27 14:33:19.288174+00,2020-04-27 16:16:02.981982+00,7379,2020-04-27 16:16:02.978418+00,,2020-05-26 22:00:00+00,,,regular,,,,
956,99.00,rejected,2020-03-19 16:56:44.663085+00,2020-03-30 19:45:33.537732+00,,2020-03-20 13:50:09.32356+00,575,2020-04-18 16:56:44.662679+00,,,regular,,,,
708,100.00,rejected,2020-02-20 12:19:40.985706+00,2020-02-21 09:09:35.175406+00,2671,2020-02-21 09:09:35.171865+00,,2020-03-10 23:00:00+00,,,regular,,,,
875,100.00,rejected,2020-03-14 10:09:47.412338+00,2020-03-14 11:59:08.304458+00,4549,2020-03-14 11:59:08.300326+00,,2020-04-06 23:00:00+00,,,regular,,,,
827,100.00,rejected,2020-03-09 09:53:36.596864+00,2020-03-10 15:37:26.430865+00,,2020-03-10 15:15:10.776599+00,475,2020-04-08 09:53:36.596502+00,,,regular,,,,
1403,100.00,rejected,2020-04-28 06:08:36.947308+00,2020-04-28 11:16:10.232188+00,7217,2020-04-28 11:16:10.228663+00,,2020-05-08 06:08:58.582+00,,,regular,,,,
1064,100.00,rejected,2020-04-07 18:16:01.620359+00,2020-04-08 09:54:57.539831+00,865,2020-04-08 09:54:57.536584+00,,2020-04-15 18:16:39.539+00,,,regular,,,,
126,100.00,rejected,2019-12-12 17:10:08.827293+00,2019-12-27 16:49:27.267786+00,,2019-12-20 17:12:54.757416+00,167,2020-01-11 17:10:08.826838+00,,,regular,,,,
128,100.00,rejected,2019-12-12 18:27:17.184838+00,2020-01-10 16:58:05.799392+00,,2020-01-10 16:58:05.793339+00,108,2019-12-19 18:27:17.184255+00,,,regular,,,,
605,100.00,rejected,2020-02-04 16:39:27.88267+00,2020-02-04 18:39:53.508885+00,2179,2020-02-04 18:39:53.505456+00,,2020-03-01 16:39:27.876188+00,,,regular,,,,
1629,100.00,money_back,2020-05-08 11:02:44.881355+00,2020-06-10 08:20:10.399242+00,9068,2020-05-08 11:07:03.575647+00,,2020-06-03 22:00:00+00,2020-05-12,2020-06-10 08:20:10.398977+00,regular,,,,
1446,100.00,rejected,2020-04-29 15:27:09.092619+00,2020-04-30 13:59:37.47046+00,,2020-04-30 13:59:37.466772+00,1068,2020-05-29 15:27:30.203+00,,,regular,,,,
633,1.00,rejected,2020-02-07 14:38:16.934291+00,2020-02-07 17:02:15.625232+00,,2020-02-07 15:20:05.730051+00,302,2020-03-08 14:38:16.933873+00,,,regular,,,,
134,100.00,rejected,2019-12-13 08:33:04.569112+00,2019-12-13 16:23:51.373057+00,1316,2019-12-13 16:23:51.370915+00,,2020-01-12 08:33:04.568385+00,,,regular,,,,
135,100.00,rejected,2019-12-13 08:38:00.76351+00,2019-12-13 16:22:41.025704+00,1003,2019-12-13 16:22:41.023011+00,,2020-01-12 08:38:00.763012+00,,,regular,,,,
23534,25.00,money_back,2020-10-23 15:20:26.163927+00,2020-12-18 13:08:29.099365+00,21465,,,2020-11-10 23:51:00+00,,2020-11-06 07:16:21.845479+00,instant,2020-10-23 15:21:26.878525+00,,,
688,100.00,rejected,2020-02-16 15:45:05.264615+00,2020-02-17 19:15:39.589626+00,2564,2020-02-17 19:15:39.58635+00,,2020-03-07 23:00:00+00,,,regular,,,,
1074,100.00,rejected,2020-04-08 05:23:17.450113+00,2020-04-08 09:39:44.790395+00,5210,2020-04-08 09:39:44.786426+00,,2020-05-07 22:00:00+00,,,regular,,,,
141,100.00,rejected,2019-12-13 11:56:37.762666+00,2019-12-13 16:09:18.59688+00,674,2019-12-13 16:09:18.594899+00,,2019-12-20 11:56:37.762016+00,,,regular,,,,
1364,100.00,rejected,2020-04-24 16:11:40.165586+00,2020-04-25 14:31:14.072169+00,952,2020-04-25 14:31:14.057807+00,,2020-05-23 22:00:00+00,,,regular,,,,
840,100.00,rejected,2020-03-10 16:47:29.075192+00,2020-03-11 08:51:19.721268+00,3338,2020-03-11 08:51:19.718068+00,,2020-04-05 23:00:00+00,,,regular,,,,
817,100.00,money_back,2020-03-07 18:36:59.336674+00,2020-04-14 20:25:28.7484+00,3162,2020-03-08 14:27:21.449497+00,,2020-04-06 18:36:59.336289+00,2020-03-10,2020-04-14 20:25:28.747087+00,regular,,,,
9323,50.00,rejected,2020-07-21 21:33:12.430494+00,2020-07-22 08:59:33.989211+00,23318,2020-07-22 08:59:33.986846+00,,2020-08-05 22:00:00+00,,,regular,2020-07-28 21:33:12.430087+00,,,
166,100.00,rejected,2019-12-15 13:43:18.052483+00,2020-03-25 13:27:19.600582+00,,2019-12-18 15:21:30.628311+00,562,2019-12-22 13:43:18.051875+00,,,regular,,,,
1404,100.00,rejected,2020-04-28 07:10:36.933178+00,2020-04-28 09:43:37.267035+00,4982,2020-04-28 09:43:37.262612+00,,2020-05-18 22:00:00+00,,,regular,,,,
150,100.00,rejected,2019-12-13 20:27:38.106778+00,2019-12-18 15:20:41.722482+00,35,2019-12-18 15:20:41.715612+00,,2019-12-20 20:27:38.106319+00,,,regular,,,,
153,100.00,rejected,2019-12-14 07:25:22.285083+00,2019-12-14 14:44:44.173729+00,1378,2019-12-14 14:44:44.171641+00,,2020-01-13 07:25:22.284602+00,,,regular,,,,
18701,100.00,rejected,2020-10-01 11:41:07.208207+00,2020-10-01 12:26:23.482538+00,57285,2020-10-01 12:26:23.47496+00,,2020-11-04 22:00:00+00,,,regular,2020-10-08 11:41:07.170136+00,,,
724,50.00,money_back,2020-02-22 21:32:27.64765+00,2020-03-31 20:00:52.444848+00,115,2020-02-22 21:44:35.375953+00,,2020-03-23 21:32:27.647137+00,2020-02-25,2020-03-31 20:00:52.443628+00,regular,,,,
16121,50.00,rejected,2020-09-14 23:05:32.606904+00,2020-09-15 08:16:28.688342+00,38075,2020-09-15 08:16:28.681129+00,,2020-10-05 22:00:00+00,,,instant,2020-09-21 23:05:32.558375+00,,,
1506,100.00,rejected,2020-05-01 10:20:30.45517+00,2020-05-01 13:27:18.98431+00,72,2020-05-01 13:27:18.980716+00,,2020-05-15 22:00:00+00,,,regular,,,,
162,100.00,rejected,2019-12-15 07:54:24.269852+00,2019-12-18 15:21:24.519797+00,1083,2019-12-18 15:21:24.510493+00,,2020-01-14 07:54:24.26941+00,,,regular,,,,
742,100.00,rejected,2020-02-27 08:47:14.126279+00,2020-04-15 09:58:47.619537+00,,2020-02-27 15:16:45.596438+00,743,2020-03-05 08:47:14.125877+00,,,regular,,,,
149,100.00,rejected,2019-12-13 20:00:38.655875+00,2020-02-11 15:31:18.021315+00,,2019-12-18 15:19:12.874039+00,317,2020-01-12 20:00:38.655359+00,,,regular,,,,
172,100.00,rejected,2019-12-15 20:35:01.347478+00,2019-12-16 13:58:51.951753+00,1516,2019-12-16 13:58:51.949398+00,,2019-12-22 20:35:01.346897+00,,,regular,,,,
177,100.00,rejected,2019-12-16 07:17:06.409899+00,2019-12-16 13:36:11.41083+00,614,2019-12-16 13:36:11.408504+00,,2020-01-15 07:17:06.409312+00,,,regular,,,,
179,100.00,rejected,2019-12-16 09:30:45.181176+00,2019-12-16 14:34:09.58383+00,1227,2019-12-16 14:34:09.581694+00,,2020-01-15 09:30:45.180751+00,,,regular,,,,
1141,100.00,rejected,2020-04-11 13:39:57.976975+00,2020-04-13 08:56:08.543639+00,5620,2020-04-13 08:56:08.540099+00,,2020-04-25 13:39:58.593+00,,,regular,,,,
792,20.00,rejected,2020-03-04 13:40:10.630892+00,2020-03-04 16:20:27.849893+00,2575,2020-03-04 16:20:27.8413+00,,2020-04-05 23:00:00+00,,,regular,,,,
2271,100.00,money_back,2020-05-28 23:21:24.988386+00,2020-09-18 07:45:25.74754+00,10503,2020-05-29 07:40:54.629978+00,,2020-06-08 22:00:00+00,2020-06-01,2020-09-18 07:45:25.740402+00,regular,,completed,2020-06-12 22:30:08.558561+00,2020-09-18 07:45:25.761696+00
649,1.00,rejected,2020-02-08 20:29:14.009443+00,2020-02-09 14:00:49.260083+00,3131,2020-02-09 14:00:49.256373+00,,2020-03-09 20:29:14.009054+00,,,regular,,,,
132,99.00,rejected,2019-12-12 21:38:56.557146+00,2020-03-11 10:20:03.085613+00,,2019-12-13 16:28:09.220285+00,486,2019-12-19 21:38:56.556536+00,,,regular,,,,
757,100.00,rejected,2020-02-28 10:47:40.120424+00,2020-02-28 14:12:59.54625+00,994,2020-02-28 14:12:59.542491+00,,2020-03-25 23:00:00+00,,,regular,,,,
770,60.00,rejected,2020-03-01 00:14:25.915464+00,2020-03-01 20:21:23.994827+00,865,2020-03-01 20:21:23.990717+00,,2020-03-16 23:00:00+00,,,regular,,,,
2011,100.00,rejected,2020-05-19 04:44:06.540043+00,2020-05-19 10:56:37.388275+00,8556,2020-05-19 10:56:37.384091+00,,2020-06-03 04:44:06.999+00,,,regular,,,,
2199,100.00,money_back,2020-05-26 23:47:35.383372+00,2020-06-27 03:28:09.137916+00,5430,2020-06-05 14:32:58.869157+00,,2020-06-25 23:48:25.293+00,2020-06-09,2020-06-27 03:28:09.137532+00,regular,,,,
1245,100.00,money_back,2020-04-16 20:11:32.037721+00,2020-05-01 22:00:08.355612+00,6613,2020-04-17 08:50:34.554916+00,,2020-04-23 20:11:32.037054+00,2020-04-20,2020-05-01 22:00:08.353852+00,regular,,,,
188,100.00,rejected,2019-12-16 13:49:59.390052+00,2019-12-17 10:09:44.98711+00,1601,2019-12-17 10:09:44.984988+00,,2020-01-15 13:49:59.389456+00,,,regular,,,,
3892,100.00,rejected,2020-06-18 10:11:57.562585+00,2020-06-18 10:14:05.382012+00,15653,2020-06-18 10:14:05.377586+00,,2020-07-06 22:00:00+00,,,regular,,,,
192,100.00,rejected,2019-12-16 16:44:49.078027+00,2019-12-17 09:42:15.460182+00,1178,2019-12-17 09:42:15.458314+00,,2020-01-15 16:44:49.077442+00,,,regular,,,,
193,100.00,rejected,2019-12-16 20:18:52.464921+00,2019-12-17 10:13:55.395008+00,1636,2019-12-17 10:13:55.392908+00,,2020-01-15 20:18:52.464481+00,,,regular,,,,
898,100.00,money_back,2020-03-16 16:15:53.191521+00,2020-04-22 08:21:37.993909+00,4411,2020-03-16 16:42:11.07247+00,,2020-04-15 16:15:53.191192+00,2020-03-26,2020-04-22 08:21:37.993696+00,regular,,completed,2020-04-15 20:50:30.312191+00,2020-04-22 08:21:38.00039+00
664,100.00,rejected,2020-02-11 11:01:57.131951+00,2020-02-11 14:36:27.30857+00,,2020-02-11 13:08:24.023024+00,316,2020-03-08 11:01:57.125635+00,,,regular,,,,
644,100.00,rejected,2020-02-08 12:52:36.256805+00,2020-02-08 17:54:30.113605+00,1398,2020-02-08 17:54:30.109865+00,,2020-03-09 12:52:36.256381+00,,,regular,,,,
657,100.00,rejected,2020-02-10 15:57:34.916879+00,2020-02-10 17:56:31.339773+00,939,2020-02-10 17:56:31.336071+00,,2020-03-11 15:57:34.916568+00,,,regular,,,,
2203,100.00,money_back,2020-05-27 02:26:27.61519+00,2020-06-09 11:25:51.72636+00,2109,2020-05-27 10:02:13.094467+00,,2020-07-15 02:26:27+00,2020-05-29,2020-07-15 22:00:00+00,regular,,,,
3099,100.00,rejected,2020-06-12 05:57:48.277142+00,2020-06-12 12:32:44.770188+00,6176,2020-06-12 12:32:44.766079+00,,2020-06-22 05:57:48.271575+00,,,regular,,,,
204,100.00,rejected,2019-12-17 10:02:16.419735+00,2019-12-18 15:25:38.639732+00,810,2019-12-18 15:25:38.63115+00,,2020-01-16 10:02:16.419338+00,,,regular,,,,
758,90.00,rejected,2020-02-28 10:51:11.44088+00,2020-02-28 14:13:21.50435+00,35,2020-02-28 14:13:21.501335+00,,2020-03-07 23:00:00+00,,,regular,,,,
2152,100.00,money_back,2020-05-24 21:48:20.72097+00,2020-06-11 22:35:46.45742+00,3062,2020-05-25 08:54:50.138139+00,,2020-06-07 22:00:00+00,2020-05-26,2020-06-11 22:35:46.45713+00,regular,,,,
207,100.00,rejected,2019-12-17 11:58:20.27904+00,2019-12-18 15:25:45.190158+00,1715,2019-12-18 15:25:45.182614+00,,2020-01-16 11:58:20.278572+00,,,regular,,,,
210,100.00,rejected,2019-12-17 13:28:55.832043+00,2019-12-17 19:22:47.929879+00,1192,2019-12-17 19:22:47.915194+00,,2020-01-01 13:28:55.825158+00,,,regular,,,,
890,100.00,rejected,2020-03-16 07:09:32.012491+00,2020-03-16 13:36:25.473642+00,4523,2020-03-16 13:36:25.469449+00,,2020-03-23 07:09:32.01203+00,,,regular,,,,
212,100.00,rejected,2019-12-17 16:10:02.30373+00,2019-12-17 19:25:59.398193+00,1507,2019-12-17 19:25:59.388575+00,,2019-12-24 16:10:02.303329+00,,,regular,,,,
182,100.00,rejected,2019-12-16 10:36:28.756994+00,2020-01-09 15:19:08.186526+00,,2019-12-17 10:10:34.859212+00,205,2020-01-15 10:36:28.756994+00,,,regular,,,,
214,100.00,rejected,2019-12-17 16:31:25.088441+00,2019-12-18 15:27:22.856667+00,1370,2019-12-18 15:27:22.847551+00,,2020-01-16 16:31:25.088051+00,,,regular,,,,
217,100.00,rejected,2019-12-17 18:55:24.948952+00,2019-12-18 14:00:31.128362+00,1638,2019-12-18 14:00:31.118976+00,,2020-01-16 18:55:24.948497+00,,,regular,,,,
219,100.00,rejected,2019-12-18 00:08:32.270396+00,2020-01-10 16:58:04.32966+00,,2020-01-10 16:58:04.322576+00,125,2019-12-26 00:08:32.265162+00,,,regular,,,,
634,100.00,rejected,2020-02-07 16:23:20.317091+00,2020-02-11 15:31:18.017298+00,,2020-02-07 16:34:40.166419+00,317,2020-03-08 16:23:20.31659+00,,,regular,,,,
221,100.00,rejected,2019-12-18 11:24:42.59343+00,2019-12-20 17:13:57.619491+00,907,2019-12-20 17:13:57.611822+00,,2019-12-25 11:24:42.592972+00,,,regular,,,,
841,100.00,rejected,2020-03-10 19:11:15.793009+00,2020-03-30 19:45:33.541091+00,,2020-03-11 14:23:45.727569+00,575,2020-04-09 19:11:15.792618+00,,,regular,,,,
224,100.00,rejected,2019-12-18 11:30:07.112359+00,2019-12-18 14:17:09.286582+00,1343,2019-12-18 14:17:09.278192+00,,2020-01-17 11:30:07.111585+00,,,regular,,,,
828,100.00,rejected,2020-03-09 10:45:28.727909+00,2020-03-09 12:02:41.64817+00,4474,2020-03-09 12:02:41.644302+00,,2020-04-08 10:45:28.727534+00,,,regular,,,,
710,70.00,money_back,2020-02-20 20:50:14.883555+00,2020-03-05 22:30:26.543527+00,2993,2020-02-21 09:11:26.360242+00,,2020-02-26 01:50:24.293881+00,2020-02-22,,regular,,,,
229,100.00,rejected,2019-12-18 14:20:08.886149+00,2019-12-18 15:29:39.715305+00,314,2019-12-18 15:29:39.706921+00,,2020-01-06 14:20:08.880645+00,,,regular,,,,
233,100.00,rejected,2019-12-18 17:02:52.648811+00,2019-12-18 17:20:36.33114+00,518,2019-12-18 17:20:36.323049+00,,2019-12-29 17:02:52.642216+00,,,regular,,,,
865,80.00,rejected,2020-03-12 20:02:12.550929+00,2020-03-13 13:39:17.255191+00,1657,2020-03-13 13:39:17.251338+00,,2020-04-06 23:00:00+00,,,regular,,,,
725,100.00,money_back,2020-02-23 09:34:36.682022+00,2020-03-05 22:30:26.013347+00,1416,2020-02-24 10:56:30.29992+00,,2020-02-26 05:00:23.407156+00,2020-02-25,,regular,,,,
781,100.00,rejected,2020-03-03 04:22:55.714203+00,2020-03-03 13:35:53.240928+00,1895,2020-03-03 13:35:53.237249+00,,2020-03-10 23:00:00+00,,,regular,,,,
1123,100.00,rejected,2020-04-10 06:49:48.386116+00,2020-04-10 10:37:57.806467+00,6179,2020-04-10 10:37:57.802471+00,,2020-05-04 22:00:00+00,,,regular,,,,
202,100.00,rejected,2019-12-17 09:42:09.963915+00,2020-02-23 08:55:37.67085+00,,2019-12-17 10:39:59.67487+00,349,2019-12-24 09:42:09.963357+00,,,regular,,,,
910,100.00,rejected,2020-03-16 22:38:39.821075+00,2020-03-17 16:35:35.053135+00,2914,2020-03-17 16:35:35.049735+00,,2020-04-15 22:38:39.820703+00,,,regular,,,,
793,100.00,rejected,2020-03-04 18:59:07.5982+00,2020-03-06 09:04:29.101895+00,2460,2020-03-06 09:04:29.098465+00,,2020-03-28 23:00:00+00,,,regular,,,,
907,100.00,rejected,2020-03-16 20:20:10.523156+00,2020-03-17 16:35:50.632945+00,3285,2020-03-17 16:35:50.629195+00,,2020-04-07 23:00:00+00,,,regular,,,,
237,100.00,rejected,2019-12-19 07:15:37.800199+00,2019-12-20 17:15:00.106611+00,1606,2019-12-20 17:15:00.09904+00,,2020-01-18 07:15:37.799718+00,,,regular,,,,
238,100.00,rejected,2019-12-19 08:50:23.974706+00,2019-12-20 17:15:20.684833+00,739,2019-12-20 17:15:20.677927+00,,2019-12-26 08:50:23.97414+00,,,regular,,,,
239,100.00,rejected,2019-12-19 09:21:31.652546+00,2019-12-20 17:15:36.241492+00,1844,2019-12-20 17:15:36.232617+00,,2020-01-18 09:21:31.652125+00,,,regular,,,,
818,100.00,rejected,2020-03-07 18:37:03.621302+00,2020-03-08 14:29:56.55895+00,3162,2020-03-08 14:29:56.555207+00,,2020-04-06 18:37:03.620898+00,,,regular,,,,
597,100.00,rejected,2020-02-03 23:44:39.091032+00,2020-02-04 18:35:36.427823+00,213,2020-02-04 18:35:36.424323+00,,2020-03-10 23:44:39.084748+00,,,regular,,,,
1733,100.00,rejected,2020-05-13 14:43:43.758253+00,2020-05-13 14:50:48.228453+00,8908,2020-05-13 14:50:48.224344+00,,2020-06-07 22:00:00+00,,,regular,,,,
243,100.00,rejected,2019-12-19 10:52:20.132225+00,2019-12-20 17:18:09.725328+00,1843,2019-12-20 17:18:09.715419+00,,2020-01-18 10:52:20.131826+00,,,regular,,,,
244,30.00,rejected,2019-12-19 12:05:22.811351+00,2019-12-20 17:18:42.466791+00,1628,2019-12-20 17:18:42.457319+00,,2020-01-06 12:05:22.804632+00,,,regular,,,,
640,100.00,rejected,2020-02-08 08:35:17.01467+00,2020-02-08 17:52:25.694756+00,1630,2020-02-08 17:52:25.690531+00,,2020-03-08 08:35:17.007033+00,,,regular,,,,
247,100.00,rejected,2019-12-19 12:56:15.856685+00,2019-12-23 14:45:36.34409+00,,2019-12-20 17:19:31.952452+00,143,2020-01-06 12:56:15.850106+00,,,regular,,,,
248,100.00,rejected,2019-12-19 13:05:35.774787+00,2019-12-20 17:19:53.932876+00,1830,2019-12-20 17:19:53.924928+00,,2020-01-07 13:05:35.768313+00,,,regular,,,,
249,100.00,rejected,2019-12-19 13:36:12.430708+00,2019-12-20 17:20:12.111841+00,610,2019-12-20 17:20:12.103285+00,,2019-12-29 13:36:12.42352+00,,,regular,,,,
250,100.00,rejected,2019-12-19 13:56:30.683916+00,2019-12-20 17:21:11.869688+00,1183,2019-12-20 17:21:11.86001+00,,2020-01-18 13:56:30.683496+00,,,regular,,,,
617,100.00,rejected,2020-02-06 07:42:53.770799+00,2020-02-06 12:52:01.798588+00,1978,2020-02-06 12:52:01.795433+00,,2020-02-26 07:42:53.764545+00,,,regular,,,,
252,100.00,rejected,2019-12-19 14:12:17.792633+00,2019-12-20 17:22:51.439626+00,1022,2019-12-20 17:22:51.431624+00,,2019-12-26 14:12:17.792271+00,,,regular,,,,
255,100.00,rejected,2019-12-19 16:17:15.557171+00,2019-12-20 17:26:01.060576+00,1286,2019-12-20 17:26:01.053035+00,,2020-01-18 16:17:15.556695+00,,,regular,,,,
256,100.00,rejected,2019-12-19 16:52:22.53788+00,2019-12-20 17:26:58.45848+00,1590,2019-12-20 17:26:58.449784+00,,2020-01-01 16:52:22.531998+00,,,regular,,,,
2127,100.00,rejected,2020-05-22 15:50:19.5464+00,2020-05-22 16:02:25.640366+00,5496,2020-05-22 16:02:25.629782+00,,2020-06-06 15:50:18.238+00,,,regular,,,,
18459,100.00,rejected,2020-09-29 18:36:25.875659+00,2020-09-30 07:51:52.005581+00,55584,2020-09-30 07:51:51.997203+00,,2020-10-07 22:00:00+00,,,instant,2020-10-06 18:36:25.849957+00,,,
259,100.00,rejected,2019-12-19 18:58:15.92497+00,2020-01-10 16:58:01.812377+00,,2020-01-10 16:58:01.805673+00,131,2020-01-18 18:58:15.924516+00,,,regular,,,,
626,100.00,rejected,2020-02-06 18:56:35.670662+00,2020-02-07 13:31:42.045772+00,2867,2020-02-07 13:31:42.041901+00,,2020-03-04 18:56:35.664686+00,,,regular,,,,
711,100.00,rejected,2020-02-21 14:46:56.356927+00,2020-02-22 15:36:13.709722+00,2575,2020-02-22 15:36:13.705896+00,,2020-03-05 23:00:00+00,,,regular,,,,
1357,100.00,rejected,2020-04-24 08:33:10.33597+00,2020-04-24 09:17:13.877858+00,7229,2020-04-24 09:17:13.873841+00,,2020-05-08 22:00:00+00,,,regular,,,,
266,100.00,rejected,2019-12-20 09:29:21.186531+00,2019-12-20 17:43:02.001771+00,1520,2019-12-20 17:43:01.994122+00,,2020-01-06 09:29:21.177478+00,,,regular,,,,
